Title,Body,Labels,Status,Parent
"Epic 1: Quản lý Khách hàng (Customer Management)","","epic","open",""
"Task 1.1: Thiết kế và tạo database schema cho thông tin khách hàng","","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Task 1.2: Xây dựng API cho CRUD (Create, Read, Update, Delete) khách hàng","","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Task 1.3: Xây dựng giao diện quản lý khách hàng trên dashboard admin","","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Task 1.4: Tích hợp API quản lý khách hàng với giao diện dashboard","","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Task 1.5: Viết unit test cho API quản lý khách hàng","","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Task 1.6: Viết integration test cho luồng quản lý khách hàng","","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Epic 2: Check-in/Check-out","","epic","open",""
"Task 2.1: Nghiên cứu và lựa chọn thư viện nhận diện khuôn mặt","","task","open","Epic 2: Check-in/Check-out"
"Task 2.2: Xây dựng API đăng ký khuôn mặt cho khách hàng","","task","open","Epic 2: Check-in/Check-out"
"Task 2.3: Xây dựng API nhận diện khuôn mặt và ghi nhận check-in/out","","task","open","Epic 2: Check-in/Check-out"
"Task 2.4: Thiết kế và tạo database schema cho lịch sử check-in/out","","task","open","Epic 2: Check-in/Check-out"
"Task 2.5: Xây dựng giao diện check-in/out trên dashboard admin","","task","open","Epic 2: Check-in/Check-out"
"Task 2.6: Tích hợp API check-in/out với giao diện dashboard","","task","open","Epic 2: Check-in/Check-out"
"Task 2.7: Viết unit test cho API check-in/out","","task","open","Epic 2: Check-in/Check-out"
"Epic 3: CI/CD (Continuous Integration/Continuous Deployment)","","epic","open",""
"Task 3.1: Cấu hình GitHub Actions cho CI (build & test)","","task","open","Epic 3: CI/CD (Continuous Integration/Continuous Deployment)"
"Task 3.2: Viết Dockerfile cho các microservices (ASP.NET Core, Python)","","task","open","Epic 3: CI/CD (Continuous Integration/Continuous Deployment)"
"Task 3.3: Cấu hình pipeline để build và push Docker image lên container registry","","task","open","Epic 3: CI/CD (Continuous Integration/Continuous Deployment)"
"Task 3.4: Cấu hình CD pipeline để deploy ứng dụng lên Kubernetes","","task","open","Epic 3: CI/CD (Continuous Integration/Continuous Deployment)"
"Task 3.5: Tích hợp linting và static analysis vào CI pipeline","","task","open","Epic 3: CI/CD (Continuous Integration/Continuous Deployment)"
"Epic 4: IAM (Identity & Access Management)","","epic","open",""
"Task 4.1: Tích hợp Auth0 hoặc IdentityServer cho xác thực người dùng","","task","open","Epic 4: IAM (Identity & Access Management)"
"Task 4.2: Cấu hình Role-Based Access Control (RBAC) cho các vai trò (admin, staff, member)","","task","open","Epic 4: IAM (Identity & Access Management)"
"Task 4.3: Xây dựng API bảo vệ các endpoint dựa trên vai trò người dùng","","task","open","Epic 4: IAM (Identity & Access Management)"
"Task 4.4: Xây dựng giao diện đăng nhập và quản lý tài khoản người dùng","","task","open","Epic 4: IAM (Identity & Access Management)"
"Epic 5: Cloud/DevOps","","epic","open",""
"Task 5.1: Viết mã IaC (Infrastructure as Code) bằng Terraform để tạo hạ tầng (VPC, Kubernetes cluster)","","task","open","Epic 5: Cloud/DevOps"
"Task 5.2: Cấu hình Helm chart cho việc deploy ứng dụng","","task","open","Epic 5: Cloud/DevOps"
"Task 5.3: Cấu hình môi trường dev, staging, production","","task","open","Epic 5: Cloud/DevOps"
"Task 5.4: Tự động hóa việc tạo và quản lý môi trường","","task","open","Epic 5: Cloud/DevOps"
"Epic 6: Giám sát & Bảo mật (Monitoring & Security)","","epic","open",""
"Task 6.1: Tích hợp Prometheus để thu thập metrics từ các service","","task","open","Epic 6: Giám sát & Bảo mật (Monitoring & Security)"
"Task 6.2: Xây dựng Grafana dashboard để giám sát health, performance, error rate","","task","open","Epic 6: Giám sát & Bảo mật (Monitoring & Security)"
"Task 6.3: Cấu hình hệ thống logging tập trung (Loki/ELK)","","task","open","Epic 6: Giám sát & Bảo mật (Monitoring & Security)"
"Task 6.4: Tích hợp OpenTelemetry για distributed tracing","","task","open","Epic 6: Giám sát & Bảo mật (Monitoring & Security)"
"Task 6.5: Quét lỗ hổng bảo mật cho container images và dependencies","","task","open","Epic 6: Giám sát & Bảo mật (Monitoring & Security)"
"Task 6.6: Cấu hình và quản lý secrets bằng Vault hoặc Kubernetes Secrets","","task","open","Epic 6: Giám sát & Bảo mật (Monitoring & Security)"
