Title,Body,Labels,Status,Parent
"Epic 1: Quản lý Khách hàng (Customer Management)","## 🎯 Epic

[Mô tả tổng quan về Epic, mục tiêu kinh doanh hoặc tính năng lớn.]

---

## 🚀 User Stories liên quan

- [ ] #issue_number
- [ ] #issue_number

---

## 📋 Ghi chú

[Thông tin bổ sung, tài liệu tham khảo, hoặc các giả định.]","epic","open",""
"Task 1.1: Thiết kế và tạo database schema cho thông tin khách hàng","## 📝 Mô tả Task

[Mô tả chi tiết công việc kỹ thuật cần thực hiện.]

---

## ✅ Definition of Done (DoD)

- [ ] Code đã được viết và review.
- [ ] Unit test đã được viết và pass.
- [ ] Integration test đã được viết và pass.
- [ ] Tài liệu đã được cập nhật.
- [ ] Deploy lên môi trường staging thành công.

---

## 📋 Checklist công việc

- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

---

## 📎 Ghi chú

- Liên quan đến User Story: #","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Task 1.2: Xây dựng API cho CRUD (Create, Read, Update, Delete) khách hàng","## 📝 Mô tả Task

[Mô tả chi tiết công việc kỹ thuật cần thực hiện.]

---

## ✅ Definition of Done (DoD)

- [ ] Code đã được viết và review.
- [ ] Unit test đã được viết và pass.
- [ ] Integration test đã được viết và pass.
- [ ] Tài liệu đã được cập nhật.
- [ ] Deploy lên môi trường staging thành công.

---

## 📋 Checklist công việc

- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

---

## 📎 Ghi chú

- Liên quan đến User Story: #","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Task 1.3: Xây dựng giao diện quản lý khách hàng trên dashboard admin","## 📝 Mô tả Task

[Mô tả chi tiết công việc kỹ thuật cần thực hiện.]

---

## ✅ Definition of Done (DoD)

- [ ] Code đã được viết và review.
- [ ] Unit test đã được viết và pass.
- [ ] Integration test đã được viết và pass.
- [ ] Tài liệu đã được cập nhật.
- [ ] Deploy lên môi trường staging thành công.

---

## 📋 Checklist công việc

- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

---

## 📎 Ghi chú

- Liên quan đến User Story: #","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Task 1.4: Tích hợp API quản lý khách hàng với giao diện dashboard","## 📝 Mô tả Task

[Mô tả chi tiết công việc kỹ thuật cần thực hiện.]

---

## ✅ Definition of Done (DoD)

- [ ] Code đã được viết và review.
- [ ] Unit test đã được viết và pass.
- [ ] Integration test đã được viết và pass.
- [ ] Tài liệu đã được cập nhật.
- [ ] Deploy lên môi trường staging thành công.

---

## 📋 Checklist công việc

- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

---

## 📎 Ghi chú

- Liên quan đến User Story: #","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Task 1.5: Viết unit test cho API quản lý khách hàng","## 📝 Mô tả Task

[Mô tả chi tiết công việc kỹ thuật cần thực hiện.]

---

## ✅ Definition of Done (DoD)

- [ ] Code đã được viết và review.
- [ ] Unit test đã được viết và pass.
- [ ] Integration test đã được viết và pass.
- [ ] Tài liệu đã được cập nhật.
- [ ] Deploy lên môi trường staging thành công.

---

## 📋 Checklist công việc

- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

---

## 📎 Ghi chú

- Liên quan đến User Story: #","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Task 1.6: Viết integration test cho luồng quản lý khách hàng","## 📝 Mô tả Task

[Mô tả chi tiết công việc kỹ thuật cần thực hiện.]

---

## ✅ Definition of Done (DoD)

- [ ] Code đã được viết và review.
- [ ] Unit test đã được viết và pass.
- [ ] Integration test đã được viết và pass.
- [ ] Tài liệu đã được cập nhật.
- [ ] Deploy lên môi trường staging thành công.

---

## 📋 Checklist công việc

- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

---

## 📎 Ghi chú

- Liên quan đến User Story: #","task","open","Epic 1: Quản lý Khách hàng (Customer Management)"
"Epic 2: Check-in/Check-out","## 🎯 Epic

[Mô tả tổng quan về Epic, mục tiêu kinh doanh hoặc tính năng lớn.]

---

## 🚀 User Stories liên quan

- [ ] #issue_number
- [ ] #issue_number

---

## 📋 Ghi chú

[Thông tin bổ sung, tài liệu tham khảo, hoặc các giả định.]","epic","open",""
"Task 2.1: Nghiên cứu và lựa chọn thư viện nhận diện khuôn mặt","## 📝 Mô tả Task

[Mô tả chi tiết công việc kỹ thuật cần thực hiện.]

---

## ✅ Definition of Done (DoD)

- [ ] Code đã được viết và review.
- [ ] Unit test đã được viết và pass.
- [ ] Integration test đã được viết và pass.
- [ ] Tài liệu đã được cập nhật.
- [ ] Deploy lên môi trường staging thành công.

---

## 📋 Checklist công việc

- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

---

## 📎 Ghi chú

- Liên quan đến User Story: #","task","open","Epic 2: Check-in/Check-out"
"Task 2.2: Xây dựng API đăng ký khuôn mặt cho khách hàng","## 📝 Mô tả Task

[Mô tả chi tiết công việc kỹ thuật cần thực hiện.]

---

## ✅ Definition of Done (DoD)

- [ ] Code đã được viết và review.
- [ ] Unit test đã được viết và pass.
- [ ] Integration test đã được viết và pass.
- [ ] Tài liệu đã được cập nhật.
- [ ] Deploy lên môi trường staging thành công.

---

## 📋 Checklist công việc

- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

---

## 📎 Ghi chú

- Liên quan đến User Story: #","task","open","Epic 2: Check-in/Check-out"
"Task 2.3: Xây dựng API nhận diện khuôn mặt và ghi nhận check-in/out","## 📝 Mô tả Task

[Mô tả chi tiết công việc kỹ thuật cần thực hiện.]

---

## ✅ Definition of Done (DoD)

- [ ] Code đã được viết và review.
- [ ] Unit test đã được viết và pass.
- [ ] Integration test đã được viết và pass.
- [ ] Tài liệu đã được cập nhật.
- [ ] Deploy lên môi trường staging thành công.

---

## 📋 Checklist công việc

- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

---

## 📎 Ghi chú

- Liên quan đến User Story: #","task","open","Epic 2: Check-in/Check-out"
"Task 2.4: Thiết kế và tạo database schema cho lịch sử check-in/out","## 📝 Mô tả Task

[Mô tả chi tiết công việc kỹ thuật cần thực hiện.]

---

## ✅ Definition of Done (DoD)

- [ ] Code đã được viết và review.
- [ ] Unit test đã được viết và pass.
- [ ] Integration test đã được viết và pass.
- [ ] Tài liệu đã được cập nhật.
- [ ] Deploy lên môi trường staging thành công.

---

## 📋 Checklist công việc

- [ ] Task 1
- [ ] Task 2
- [ ] Task 3

---

## 📎 Ghi chú

- Liên quan đến User Story: #","task","open","Epic 2: Check-in/Check-out"
